Eddie Redmayne
Steve Carell
Benedict Cumberbatch
Jake Gyllenhaal
David Oyelowo

Julianne Moore
Jennifer Aniston
Felicity Jones
Rosamund Pike
Reese Witherspoon

Michael Keaton
Ralph Fiennes
Bill Murray
Joaquin Phoenix
Christoph Waltz

Amy Adams
Emily Blunt
Helen Mirren
Julianne Moore
Quvenzhané Wallis

J.K. Simmons
Robert Duvall
Ethan Hawke
Edward Norton
Mark Ruffalo

Patricia Arquette
Jessica Chastain
Keira Knightley
Emma Stone
Meryl Streep

Richard Linklater
Wes Anderson
Ava DuVernay
David Fincher
Alejandro Iñárritu

Alejandro González Iñárritu
Wes Anderson
Gillian Flynn
Richard Linklater
Graham Moore

Jóhann Jóhannsson
Alexandre Desplat
Trent Reznor
Atticus Ross
Antonio Sánchez
Hans Zimmer

LanaDel Rey
Patti Smith
Lenny Kaye
Greg Kurstin
Furler Sia
Will Gluck
Lorde Lorde

Kevin Spacey
Clive Owen
Liev Schreiber
James Spader
Dominic West
Ruth Wilson
Claire Danes
Viola Davis
Keating, J.D.
Julianna Margulies
Robin Wright
Jeffrey Tambor
Louis C.K.
Don Cheadle
Ricky Gervais
William Macy
Gina Rodriguez
Lena Dunham
Edie Falco
Julia Louis-Dreyfus
Taylor Schilling
Billy Thornton
Martin Freeman
Woody Harrelson
Matthew McConaughey
Mark Ruffalo
Maggie Gyllenhaal
Jessica Lange
Frances McDormand
Frances O'Connor
Allison Tolman
Matt Bomer
Alan Cumming
Colin Hanks
Bill Murray
Jon Voight
Joanne Froggatt
Uzo Aduba
Kathy Bates
Allison Janney
Michelle Monaghan


Amy Adams
Jennifer Aniston
Benedict Cumberbatch
Kate Beckinsale
Adrien Brody
Jack Black
Don Cheadle
Julianna Margulies
Bryan Cranston
Kerry Washington
Jamie Dornan
Dakota Johnson
Robert Downey
David Duchovny
Katherine Heigl
Anna Faris
Chris Pratt
Colin Farrell
Colin Firth
Jane Fonda
Lily Tomlin
Harrison Ford
Ricky Gervais
Bill Hader
Kristen Wiig
Kevin Hart
Salma Hayek
Katie Holmes
Seth Meyers
Kate Hudson
Jared Leto
Adam Levine
Paul Rudd
Jennifer Lopez
Jeremy Renner
Melissa McCarthy
Matthew McConaughey
Sienna Miller
Vince Vaughn
Clive Owen
Gwyneth Paltrow
Prince Prince
Meryl Streep
Channing Tatum
Naomi Watts
Owen Wilson
Oprah Winfrey
Catherine Zeta-Jones






